GMS Rules,,,,,,,,,,,,,,,,,R&D/PP Rules,,,,,,,,,
Variable,Unit,,,,,,,,,,,,,,,,Variable,Unit,,,,,,,,
Build/ Repurpose  Size,t/y,0,0.5,1,2,5,7,10,15,20,25,30,40,50,Maintain,,Repurpose  Size,t/y,0,0.05,0.1,0.2,0.3,0.4,0.5,Maintain
Build Cost,œ'000 000,0,2,2.7,4.1,8.3,11.1,15.3,22.3,29.3,36.3,43.3,57.3,71.3,0,,Repurpose Time,y,0,1,1,1,1,1,1,0
Build Time,y,0,3,3,3,3,3,3,4,4,5,5,5,5,0,,Repurpose Cost,œ'000 000,0,0.75,0.75,0.75,1.2,1.2,1.2,0
Repurpose Cost,œ'000 000,0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,3,3,3,3,0,,Operators,#,0,2,2,2,2,2,2,
Repurpose Time,y,0,1,1,1,1,1,1,2,2,3,3,3,3,0,,Shifts,#,0,3,3,3,3,3,3,
Operators,#,0,3,3,3,4,4,4,6,6,6,7,7,8,0,,Cost,œ/y,0,210000,210000,210000,210000,210000,210000,
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3,0,,Fitters,#,0,2,2,2,2,2,2,
Cost,œ/y,0,315000,315000,315000,420000,420000,420000,630000,630000,630000,735000,735000,840000,,,Shifts,#,0,3,3,3,3,3,3,
Fitters,#,0,2,2,2,2,2,4,4,4,6,6,6,8,,,Cost,œ/y,0,240000,240000,240000,240000,240000,240000,
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3,,,Electricians,#,0,1,1,1,1,1,1,
Cost,œ/y,0,240000,240000,240000,240000,240000,480000,480000,480000,720000,720000,720000,960000,,,Shifts,#,0,3,3,3,3,3,3,
Electricians,#,0,1,1,1,1,1,1,2,2,2,2,3,3,,,Cost,œ/y,0,150000,150000,150000,150000,150000,150000,
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3,,,Managers,#,0,1,1,1,1,1,1,
Cost,œ/y,0,150000,150000,150000,150000,150000,150000,300000,300000,300000,300000,450000,450000,,,Shifts,#,0,1,1,1,1,1,1,
Managers,#,0,1,1,1,1,1,1,2,2,2,2,2,2,,,Cost,œ/y,0,50000,50000,50000,50000,50000,50000,
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3,,,QA,#,0,1,1,1,1,1,1,
Cost,œ/y,0,150000,150000,150000,150000,150000,150000,300000,300000,300000,300000,300000,300000,,,Shifts,#,0,2,2,2,2,2,2,
QA,#,0,1,1,1,1,1,1,2,2,2,2,2,2,,,Cost,œ/y,0,80000,80000,80000,80000,80000,80000,
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3,,,Lab Staff,#,0,1,1,1,1,1,1,
Cost,œ/y,0,120000,120000,120000,120000,120000,120000,240000,240000,240000,240000,240000,240000,,,Shifts,#,0,2,2,2,2,2,2,
Lab Staff,#,0,1,1,1,1,1,1,2,2,2,2,2,2,,,Cost,œ/y,0,80000,80000,80000,80000,80000,80000,
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,
Cost,œ/y,0,120000,120000,120000,120000,120000,120000,240000,240000,240000,240000,240000,240000,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Scoring Rules,,,,,,,,,,,,,,,,,,,,,,,,,,
Rule,,,% Variance,Multiplier,,,,,,,,,,,,,,,,,,,,,,
If required within 20%,,,0.2,1,,,,,,,,,,,,,,,,,,,,,,
If required within 40%,,,0.4,0.8,,,,,,,,,,,,,,,,,,,,,,
If required within 60%,,,0.6,0.6,,,,,,,,,,,,,,,,,,,,,,
If required within 80%,,,0.8,0.4,,,,,,,,,,,,,,,,,,,,,,
If required within 100%,,,1,0.2,,,,,,,,,,,,,,,,,,,,,,
Else,,,,0,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
GMS Capacity Rules,,,,,,,,,,,,,,,,,,,,,,,,,,
,Site,Initial Value,Unit,,,,,,,,,,,,,,,,,,,,,,,
Existing Capacity,1,24,t,,,,,,,,,,,,,,,,,,,,,,,
,2,48,t,,,,,,,,,,,,,,,,,,,,,,,
Greenfield Capacity,1,12,t,,,,,,,,,,,,,,,,,,,,,,,
,2,24,t,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Maximum Capital Spend,,,,,,,,,,,,,,,,,,,,,,,,,,
