Variable,Unit,0,1,2,3,4,5,6,7,8,9,10,11,12
Build/ Repurpose  Size,t/y,0,0.5,1,2,5,7,10,15,20,25,30,40,50
Build Cost,£'000 000,0,2,2.7,4.1,8.3,11.1,15.3,22.3,29.3,36.3,43.3,57.3,71.3
Build Time,y,0,3,3,3,3,3,3,4,4,5,5,5,5
Repurpose Cost,£'000 000,0,0.5,0.5,0.5,0.5,0.5,0.5,2,2,3,3,3,3
Repurpose Time,y,0,1,1,1,1,1,1,2,2,3,3,3,3
Operators,#,0,3,3,3,4,4,4,6,6,6,7,7,8
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3
Cost,£/y,0,315000,315000,315000,420000,420000,420000,630000,630000,630000,735000,735000,840000
Fitters,#,0,2,2,2,2,2,4,4,4,6,6,6,8
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3
Cost,£/y,0,240000,240000,240000,240000,240000,480000,480000,480000,720000,720000,720000,960000
Electricians,#,0,1,1,1,1,1,1,2,2,2,2,3,3
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3
Cost,£/y,0,150000,150000,150000,150000,150000,150000,300000,300000,300000,300000,450000,450000
Managers,#,0,1,1,1,1,1,1,2,2,2,2,2,2
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3
Cost,£/y,0,150000,150000,150000,150000,150000,150000,300000,300000,300000,300000,300000,300000
QA,#,0,1,1,1,1,1,1,2,2,2,2,2,2
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3
Cost,£/y,0,120000,120000,120000,120000,120000,120000,240000,240000,240000,240000,240000,240000
Lab Staff,#,0,1,1,1,1,1,1,2,2,2,2,2,2
Shifts,#,0,3,3,3,3,3,3,3,3,3,3,3,3
Cost,£/y,0,120000,120000,120000,120000,120000,120000,240000,240000,240000,240000,240000,240000
