Variable,Unit,,,,,,,,
Repurpose Size,t/y,0,0.05,0.1,0.2,0.3,0.4,0.5,Maintain
Repurpose Time,y,0,1,1,1,1,1,1,0
Repurpose Cost,£'000 000,0,0.75,0.75,0.75,1.2,1.2,1.2,0
Operators,#,0,2,2,2,2,2,2,
Shifts,#,0,3,3,3,3,3,3,
Cost,£/y,0,210000,210000,210000,210000,210000,210000,
Fitters,#,0,2,2,2,2,2,2,
Shifts,#,0,3,3,3,3,3,3,
Cost,£/y,0,240000,240000,240000,240000,240000,240000,
Electricians,#,0,1,1,1,1,1,1,
Shifts,#,0,3,3,3,3,3,3,
Cost,£/y,0,150000,150000,150000,150000,150000,150000,
Managers,#,0,1,1,1,1,1,1,
Shifts,#,0,1,1,1,1,1,1,
Cost,£/y,0,50000,50000,50000,50000,50000,50000,
QA,#,0,1,1,1,1,1,1,
Shifts,#,0,2,2,2,2,2,2,
Cost,£/y,0,80000,80000,80000,80000,80000,80000,
Lab Staff,#,0,1,1,1,1,1,1,
Shifts,#,0,2,2,2,2,2,2,
Cost,£/y,0,80000,80000,80000,80000,80000,80000,
